,Name,Year,Rating,Votes
393,Cabin Fever,2002,5.6,68569.0
394,Sex and the City,2008,5.6,107573.0
395,3:10 to Yuma,2007,7.7,262721.0
396,Get Smart,2008,6.5,185025.0
397,The Island,2005,6.9,283469.0
398,Accepted,2006,6.5,114434.0
399,Atlantis: The Lost Empire,2001,6.8,88121.0
400,Deja Vu,2006,7.1,268602.0
401,Sorority Row,2009,5.2,26338.0
402,Fast & Furious,2009,6.6,234481.0
403,The Chronicles of Riddick,2004,6.7,200221.0
404,Valkyrie,2008,7.1,207598.0
405,Cheaper by the Dozen,2003,5.8,84429.0
406,The Covenant,2006,5.3,43450.0
407,Road Trip,2000,6.5,145313.0
408,Land of the Lost,2009,5.4,58895.0
409,Bad Boys II,2003,6.6,199857.0
410,Dragonball Evolution,2009,2.6,63967.0
411,Waiting...,2005,6.8,81914.0
412,Thirteen,2003,6.8,74399.0
413,The Chronicles of Narnia: Prince Caspian,2008,6.5,171743.0
414,Road to Perdition,2002,7.7,222892.0
415,Paranormal Activity,2007,6.3,203398.0
416,Little Children,2006,7.5,98964.0
417,Sydney White,2007,6.3,42061.0
418,"Dude, Where's My Car?",2000,5.5,126234.0
419,Blades of Glory,2007,6.3,143296.0
420,Die Another Day,2002,6.1,186566.0
421,The Dukes of Hazzard,2005,5.1,71193.0
422,The Matrix Revolutions,2003,6.7,403458.0
423,The Hot Chick,2002,5.5,82537.0
424,Zoolander,2001,6.6,224970.0
425,Bridget Jones's Diary,2001,6.7,198713.0
426,The Lake House,2006,6.8,126072.0
427,Funny Games,2007,6.5,80607.0
428,What Women Want,2000,6.4,175701.0
429,Under the Tuscan Sun,2003,6.8,41814.0
430,Disturbia,2007,6.9,202923.0
431,Hancock,2008,6.4,396819.0
432,Brick,2005,7.4,92941.0
433,13 Going on 30,2004,6.1,141954.0
434,We Were Soldiers,2002,7.2,117322.0
435,Grindhouse,2007,7.6,166741.0
436,Cold Mountain,2003,7.2,129160.0
437,Seven Pounds,2008,7.6,260870.0
438,Angels & Demons,2009,6.7,244466.0
439,Anger Management,2003,6.2,187002.0
440,Jason X,2001,4.4,44640.0
441,El orfanato,2007,7.5,134062.0
442,Munich,2005,7.6,194139.0
443,Hostel: Part II,2007,5.5,78275.0
444,The Ugly Truth,2009,6.5,184227.0
445,Pandorum,2009,6.8,134165.0
446,30 Days of Night,2007,6.6,152509.0
447,Triangle,2009,6.9,84978.0
448,Waitress,2007,7.0,40859.0
449,Reign of Fire,2002,6.2,117007.0
450,The Constant Gardener,2005,7.4,122412.0
451,Shallow Hal,2001,5.9,118665.0
452,Elf,2003,6.9,175331.0
453,The Imaginarium of Doctor Parnassus,2009,6.8,136073.0
454,Queen of the Damned,2002,5.3,48465.0
455,Sideways,2004,7.5,165767.0
456,Faa yeung nin wa,2000,8.1,99733.0
457,Death at a Funeral,2007,7.4,99050.0
458,Dogville,2003,8.0,121664.0
459,The Mothman Prophecies,2002,6.5,69629.0
460,The Perfect Storm,2000,6.4,143892.0
461,Meet the Fockers,2004,6.3,232537.0
462,Step Up,2006,6.5,101760.0
463,The Royal Tenenbaums,2001,7.6,238350.0
464,Haute tension,2003,6.8,61199.0
465,August Rush,2007,7.5,97045.0
466,[Rec],2007,7.5,148496.0
467,21,2008,6.8,208796.0
468,The Fountain,2006,7.3,211873.0
469,Hachi: A Dog's Tale,2009,8.1,211216.0
470,The Spiderwick Chronicles,2008,6.6,78501.0
471,A Serious Man,2009,7.0,117076.0
472,Funny People,2009,6.3,107362.0
473,Wild Child,2008,6.1,43702.0
474,Memoirs of a Geisha,2005,7.4,128985.0
475,"I Love You, Man",2009,7.0,181743.0
476,Harold & Kumar Go to White Castle,2004,7.1,168738.0
477,Panic Room,2002,6.8,230454.0
478,Journey to the Center of the Earth,2008,5.8,100801.0
479,The Princess Diaries 2: Royal Engagement,2004,5.8,64522.0
480,Dead Silence,2007,6.2,76820.0
481,2 Fast 2 Furious,2003,5.9,222796.0
482,Chocolat,2000,7.3,164590.0
483,Next Friday,2000,6.1,32371.0
484,Couples Retreat,2009,5.5,91893.0
485,Austin Powers in Goldmember,2002,6.2,178940.0
486,Shark Tale,2004,6.0,149450.0
487,Eastern Promises,2007,7.7,209138.0
488,The Babysitters,2007,5.7,9829.0
489,Next,2007,6.2,136816.0
490,1408,2007,6.8,235812.0
491,Coach Carter,2005,7.3,106776.0
492,"Definitely, Maybe",2008,7.2,142163.0
493,The Heart Is Deceitful Above All Things,2004,6.5,5903.0
494,Transformers: Revenge of the Fallen,2009,6.0,355884.0
495,Night at the Museum,2006,6.4,274223.0
496,Brothers,2009,7.1,100000.0
497,Alpha Dog,2006,6.9,93648.0
498,Rush Hour 2,2001,6.6,179816.0
499,Swordfish,2001,6.5,166297.0
500,Hotel Rwanda,2004,8.1,304666.0
501,Taare Zameen Par,2007,8.4,130261.0
502,The Man from Earth,2007,7.9,155187.0
503,Equilibrium,2002,7.5,288888.0
504,Nanny McPhee,2005,6.6,58913.0
505,Dog Soldiers,2002,6.8,49635.0
506,The Skeleton Key,2005,6.5,97430.0
507,Cheaper by the Dozen 2,2005,5.5,48722.0
508,The Fall,2006,7.9,99341.0
509,John Tucker Must Die,2006,5.8,73922.0
510,Battlefield Earth,2000,2.4,71150.0
511,Gamer,2009,5.8,122527.0
512,Friday Night Lights,2004,7.3,52796.0
513,Charlie's Angels: Full Throttle,2003,4.9,110120.0
514,Sexy Beast,2000,7.3,48715.0
515,Basic Instinct 2,2006,4.3,34221.0
516,4: Rise of the Silver Surfer,2007,5.6,232981.0
517,Match Point,2005,7.6,186427.0
518,Babel,2006,7.5,267233.0
519,The Cat in the Hat,2003,3.8,42767.0
520,Ghost World,2001,7.4,104930.0
521,Scooby-Doo 2: Monsters Unleashed,2004,5.0,40222.0
522,Punisher: War Zone,2008,6.0,55328.0
523,Planet Terror,2007,7.1,183930.0
524,Doomsday,2008,6.0,67369.0
525,The Core,2003,5.5,84197.0
526,About a Boy,2002,7.1,156290.0
527,The Spirit,2008,4.8,56820.0
528,What Lies Beneath,2000,6.6,107634.0
529,Master and Commander: The Far Side of the World,2003,7.4,185360.0
530,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,324888.0
531,Cashback,2006,7.2,78321.0
532,Smokin' Aces,2006,6.7,129517.0
533,Meet the Parents,2000,7.0,286438.0
534,Ghost Ship,2002,5.5,83966.0
535,My Bloody Valentine,2009,5.5,49513.0
536,W.,2008,6.3,43525.0
537,Harry Brown,2009,7.2,79366.0
538,Land of the Dead,2005,6.2,85305.0
539,The Rundown,2003,6.7,91713.0
540,Two Weeks Notice,2002,6.1,95562.0
541,Sleepover,2004,5.4,13964.0
542,Diario de una ninfómana,2008,5.8,9271.0
543,Enemy at the Gates,2001,7.6,216930.0
544,The Time Traveler's Wife,2009,7.1,128739.0
545,Shaft,2000,5.9,63728.0
546,Never Back Down,2008,6.6,88744.0
547,Slither,2006,6.5,68108.0
548,The Boat That Rocked,2009,7.4,99412.0
549,The Haunted Mansion,2003,5.0,36731.0
550,Saw II,2005,6.6,212088.0
551,Meet the Robinsons,2007,6.9,77266.0
552,Garden State,2004,7.5,198924.0
553,Disaster Movie,2008,1.9,80832.0
554,Spy Kids,2001,5.5,95888.0
555,Bee Movie,2007,6.1,122628.0
556,Dreamcatcher,2003,5.5,83075.0
557,Lady in the Water,2006,5.6,87387.0
558,Scream 3,2000,5.5,110589.0
559,Wo hu cang long,2000,7.9,235138.0
560,Murder by Numbers,2002,6.1,48308.0
561,Miss Congeniality,2000,6.2,161294.0
562,Scary Movie 3,2003,5.5,124355.0
563,The Grudge,2004,5.9,128152.0
564,Scary Movie 2,2001,5.3,134138.0
565,It's Complicated,2009,6.6,78169.0
566,The Kingdom,2007,7.0,110513.0
567,The Bourne Supremacy,2004,7.8,396527.0
568,The Girl Next Door,2007,6.7,20799.0
569,State of Play,2009,7.1,123224.0
570,The Replacements,2000,6.5,53030.0
571,Happy Feet,2006,6.5,151987.0
572,The Exorcism of Emily Rose,2005,6.7,108151.0
573,Baby Mama,2008,6.0,37637.0
574,Finding Neverland,2004,7.7,187732.0
575,Crazy Heart,2009,7.3,77167.0
576,The Stepfather,2009,5.6,26701.0
577,The Hours,2002,7.6,113637.0
578,Three,2005,5.0,8301.0
579,Good Luck Chuck,2007,5.6,79934.0
580,A Good Year,2006,7.0,80237.0
581,Final Destination 3,2006,5.8,116380.0
582,United 93,2006,7.6,90851.0
583,The Brothers Grimm,2005,5.9,108051.0
584,Primer,2004,6.9,86756.0
585,Papurika,2006,7.7,57534.0
586,Night at the Museum: Battle of the Smithsonian,2009,5.9,153107.0
587,The Pacifier,2005,5.6,77471.0
588,Precious,2009,7.3,97813.0
589,Milk,2008,7.6,151858.0
590,Kung fu,2004,7.8,112297.0
591,Pitch Black,2000,7.1,210187.0
592,Eagle Eye,2008,6.6,163662.0
593,Where the Wild Things Are,2009,6.8,94805.0
594,Dead Man's Shoes,2004,7.7,44761.0
595,The Fourth Kind,2009,5.9,68534.0
596,Elektra,2005,4.7,79661.0
597,Lord of War,2005,7.6,271350.0
598,The Other Boleyn Girl,2008,6.7,93718.0
599,Cinderella Man,2005,8.0,162866.0
600,La pianiste,2001,7.5,47152.0
601,Gosford Park,2001,7.3,71466.0
602,Nick and Norah's Infinite Playlist,2008,6.7,82448.0
603,The Uninvited,2009,6.4,69636.0
604,The Collector,2009,6.4,50679.0
605,La môme,2007,7.6,75226.0
606,Sky Captain and the World of Tomorrow,2004,6.1,77466.0
607,The Informant!,2009,6.5,58308.0
608,Frida,2002,7.4,71973.0
609,Jarhead,2005,7.0,158423.0
610,Invincible,2006,7.1,58757.0
611,The Score,2001,6.8,110792.0
612,Hard Candy,2005,7.1,143845.0
613,Hooligans,2005,7.5,130867.0
614,Adventureland,2009,6.8,144220.0
615,Black Snake Moan,2006,7.0,57228.0
